"field_1","GEOID","NAME","variable","estimate","moe","Med_Income"
"1","245101201004","Block Group 4, Census Tract 1201, Baltimore city, Maryland","medincome","47697","35303.829787234",47697
"2","245102706006","Block Group 6, Census Tract 2706, Baltimore city, Maryland","medincome","54519","31301.6170212766",54519
"3","245102505003","Block Group 3, Census Tract 2505, Baltimore city, Maryland","medincome","48818","20375.6595744681",48818
"4","245101509003","Block Group 3, Census Tract 1509, Baltimore city, Maryland","medincome","82821","34015.829787234",82821
"5","245102705014","Block Group 4, Census Tract 2705.01, Baltimore city, Maryland","medincome","77159","47225.8723404255",77159
"6","245102501031","Block Group 1, Census Tract 2501.03, Baltimore city, Maryland","medincome","18342","5918.12765957447",18342
"7","245101802002","Block Group 2, Census Tract 1802, Baltimore city, Maryland","medincome","NA","-264775413.446808",
"8","245102602022","Block Group 2, Census Tract 2602.02, Baltimore city, Maryland","medincome","36695","6924.93617021277",36695
"9","245100103002","Block Group 2, Census Tract 103, Baltimore city, Maryland","medincome","138250","34522.2127659574",138250
"10","245101507013","Block Group 3, Census Tract 1507.01, Baltimore city, Maryland","medincome","48681","26311.6595744681",48681
"11","245101803001","Block Group 1, Census Tract 1803, Baltimore city, Maryland","medincome","33958","30572.4255319149",33958
"12","245102602024","Block Group 4, Census Tract 2602.02, Baltimore city, Maryland","medincome","32419","18124.9361702128",32419
"13","245102610004","Block Group 4, Census Tract 2610, Baltimore city, Maryland","medincome","61563","18161.8723404255",61563
"14","245100801012","Block Group 2, Census Tract 801.01, Baltimore city, Maryland","medincome","84500","60536",84500
"15","245100903001","Block Group 1, Census Tract 903, Baltimore city, Maryland","medincome","73750","21875.7446808511",73750
"16","245102602011","Block Group 1, Census Tract 2602.01, Baltimore city, Maryland","medincome","40036","38287.3191489362",40036
"17","245100803022","Block Group 2, Census Tract 803.02, Baltimore city, Maryland","medincome","25815","15317.7872340426",25815
"18","245102611002","Block Group 2, Census Tract 2611, Baltimore city, Maryland","medincome","126389","19219.914893617",126389
